line,customers,load,cost
573,1.0,2.74003,0.0
574,,,
575,,,
576,,,
577,,,
578,1.0,128.431,0.0
579,,,
580,,,
581,,,
582,1.0,2.74003,0.0
583,,,
584,,,
585,,,
586,,,
587,1.0,5.68006,0.0
588,,,
589,,,
590,,,
591,,,
592,,,
593,,,
594,,,
595,,,
596,,,
597,1.0,119.561,0.0
598,,,
599,,,
600,1.0,1.66002,0.0
601,,,
602,,,
603,,,
604,1.0,28.5803,0.0
605,,,
606,1.0,0.760008,0.0
607,,,
608,,,
609,1.0,45.5605,0.0
610,,,
611,,,
612,,,
613,,,
614,2.0,4.40005,0.0
615,,,
616,,,
617,1.0,0.25000300000000003,0.0
618,1.0,28.5803,0.0
619,1.0,7.72008,0.0
620,1.0,3.96004,0.0
621,,,
622,1.0,16.1102,0.0
623,,,
624,,,
625,,,
626,,,
627,,,
628,,,
629,,,
630,,,
631,,,
632,,,
633,,,
634,,,
635,,,
636,,,
637,,,
638,1.0,2.74003,0.0
639,1.0,71.0207,0.0
640,,,
641,,,
642,1.0,17.0302,0.0
643,1.0,76.4808,0.0
644,,,
645,,,
646,,,
647,,,
648,,,
649,,,
650,1.0,28.5803,0.0
651,,,
652,2.0,2.4200280000000003,0.0
653,,,
654,,,
655,,,
656,,,
657,,,
658,1.0,2.74003,0.0
659,,,
660,1.0,41.8404,0.0
661,,,
662,,,
663,,,
664,1.0,318.283,0.0
665,,,
666,,,
667,,,
668,2.0,1.520016,0.0
669,2.0,3.32004,0.0
670,,,
671,1.0,27.0403,0.0
672,,,
673,,,
674,,,
675,1.0,28.5803,0.0
676,,,
677,,,
678,,,
679,,,
680,1.0,2.74003,0.0
681,1.0,8.13008,0.0
682,1.0,0.760008,0.0
683,1.0,28.5803,0.0
684,,,
685,1.0,730.807,0.0
686,1.0,128.431,0.0
687,,,
688,,,
689,,,
690,1.0,2.74003,0.0
691,,,
692,1.0,88.2009,0.0
693,1.0,24.4002,0.0
694,1.0,47.6405,0.0
695,,,
696,,,
697,,,
698,1.0,3.08003,0.0
699,1.0,8.13008,0.0
700,1.0,2.74003,0.0
701,2.0,3.32004,0.0
702,,,
703,,,
704,,,
705,,,
706,,,
707,1.0,28.5803,0.0
708,,,
709,,,
710,,,
711,,,
712,,,
713,1.0,128.431,0.0
714,,,
715,,,
716,,,
717,,,
718,,,
719,1.0,1.66002,0.0
720,,,
721,,,
722,1.0,9.6001,0.0
723,,,
724,,,
725,,,
726,,,
727,,,
728,,,
729,1.0,1.66002,0.0
